cell,batch,duration_ns
moves/census/ADD/groups/upper/incremental,26,167239987
moves/census/ADD/groups/upper/incremental,27,167331507
moves/census/ADD/groups/upper/incremental,28,164464477
moves/census/ADD/groups/upper/incremental,29,166324828
moves/census/ADD/groups/pooled/full,0,157542407
moves/census/ADD/groups/pooled/full,1,157649919
moves/census/ADD/groups/pooled/full,2,164076877
moves/census/ADD/groups/pooled/full,3,160835688
moves/census/ADD/groups/pooled/full,4,161898556
moves/census/ADD/groups/pooled/full,5,162600767
moves/census/ADD/groups/pooled/full,6,159189128
moves/census/ADD/groups/pooled/full,7,156052818
moves/census/ADD/groups/pooled/full,8,163832469
moves/census/ADD/groups/pooled/full,9,160950705
moves/census/ADD/groups/pooled/full,10,164307682
moves/census/ADD/groups/pooled/full,11,165300102
moves/census/ADD/groups/pooled/full,12,158529848
moves/census/ADD/groups/pooled/full,13,160164152
moves/census/ADD/groups/pooled/full,14,157201315
moves/census/ADD/groups/pooled/full,15,158070795
moves/census/ADD/groups/pooled/full,16,164734728
moves/census/ADD/groups/pooled/full,17,152205201
moves/census/ADD/groups/pooled/full,18,157810838
moves/census/ADD/groups/pooled/full,19,156532932
moves/census/ADD/groups/pooled/full,20,161109569
moves/census/ADD/groups/pooled/full,21,157128740
moves/census/ADD/groups/pooled/full,22,156440704
moves/census/ADD/groups/pooled/full,23,156277969
moves/census/ADD/groups/pooled/full,24,161942894
moves/census/ADD/groups/pooled/full,25,154430739
moves/census/ADD/groups/pooled/full,26,156824348
moves/census/ADD/groups/pooled/full,27,156861371
moves/census/ADD/groups/pooled/full,28,157183599
moves/census/ADD/groups/pooled/full,29,159908198
moves/census/ADD/groups/pooled/incremental,0,170191918
moves/census/ADD/groups/pooled/incremental,1,166227309
moves/census/ADD/groups/pooled/incremental,2,160319259
moves/census/ADD/groups/pooled/incremental,3,162134813
moves/census/ADD/groups/pooled/incremental,4,165452401
moves/census/ADD/groups/pooled/incremental,5,168052984
moves/census/ADD/groups/pooled/incremental,6,164815788
moves/census/ADD/groups/pooled/incremental,7,166207203
moves/census/ADD/groups/pooled/incremental,8,168036508
moves/census/ADD/groups/pooled/incremental,9,168756412
moves/census/ADD/groups/pooled/incremental,10,169356700
moves/census/ADD/groups/pooled/incremental,11,163619392
moves/census/ADD/groups/pooled/incremental,12,161904894
moves/census/ADD/groups/pooled/incremental,13,159875152
moves/census/ADD/groups/pooled/incremental,14,162694481
moves/census/ADD/groups/pooled/incremental,15,158541000
moves/census/ADD/groups/pooled/incremental,16,158450846
moves/census/ADD/groups/pooled/incremental,17,163383269
moves/census/ADD/groups/pooled/incremental,18,162362849
moves/census/ADD/groups/pooled/incremental,19,165188928
moves/census/ADD/groups/pooled/incremental,20,170240960
