query,truth,zero_truth,frozen_estimate,fresh_replay_estimate,fresh_native_estimate,frozen_qerror,fresh_replay_qerror,semantic_relative_error,mcv_trace_changed,fd_trace_changed,control_class
dmv.1139,236587,False,,77094.16558683538,77094.16558683536,,3.0688055081615624,3.7751015573224506e-16,False,False,unchanged
dmv.1140,2805231,False,,2770583.136065983,2770583.1360659827,,1.0125056214639399,1.680733854350037e-16,False,False,unchanged
dmv.1141,25369,False,,25173.621938818356,25173.621938818353,,1.0077612217128107,1.4451550976388737e-16,False,False,unchanged
dmv.1142,2011020,False,,2018644.737582858,2018644.7375828587,,1.0037914777490318,3.4602023722014046e-16,False,False,unchanged
dmv.1143,2778832,False,,2653419.4052313142,2653419.405231314,,1.0472645200835684,1.7549479226302142e-16,False,False,unchanged
dmv.1144,54787,False,,74336.37416330367,74336.37416330368,,1.3568250527187777,1.957576676580822e-16,False,False,unchanged
dmv.1145,11353511,False,,11446973.299292628,11446973.299292628,,1.0082320173286157,0.0,False,False,unchanged
dmv.1146,1037988,False,,1070977.5205372432,1070977.520537243,,1.0317821791169486,2.1740012202783953e-16,False,False,unchanged
dmv.1147,736213,False,,805665.8569322155,805665.8569322155,,1.0943379931245651,0.0,False,False,unchanged
dmv.1148,485594,False,,778602.2854717525,778602.2854717526,,1.6034017831187217,1.495183407487677e-16,False,False,unchanged
dmv.1149,10428850,False,,10547013.417613197,10547013.417613199,,1.0113304360129063,1.766040371315348e-16,False,False,unchanged
dmv.1150,4404979,False,,4344151.716414546,4344151.7164145475,,1.0140021084796869,4.2877074071627824e-16,False,False,unchanged
dmv.1151,10852643,False,,10987491.898614815,10987491.898614816,,1.012425443149177,1.695241431273118e-16,False,False,unchanged
dmv.1152,11175015,False,,11266443.826372152,11266443.826372154,,1.008181539476426,1.6532680390869505e-16,False,False,unchanged
dmv.1153,2766333,False,,2727344.5973590827,2727344.5973590827,,1.0142953709181708,0.0,False,False,unchanged
dmv.1154,6603716,False,,6619869.681969414,6619869.6819694135,,1.0024461503143707,1.4068593784438513e-16,False,False,unchanged
dmv.1155,1017666,False,,965893.1818517476,965893.1818517477,,1.0536009769206538,1.205260830227116e-16,False,False,unchanged
dmv.1156,349728,False,,403363.4025243569,403363.40252435685,,1.1533631923219099,1.4430575642011193e-16,False,False,unchanged
dmv.1157,1193199,False,,1273343.4449663684,1273343.444966368,,1.0671677104710684,3.656996776074333e-16,False,False,unchanged
